题目,朝代,作者,内容,来源,词牌
"醉歌行","元","黄玠","千金一笑如花妾，颜色如花命如叶。千里一日奇骨马，虽有奇骨无奇价。明月不解长婵娟，浮云欻来能蔽天。人生富贵矢脱弦，放手一失三千年。彼造物者予何言，醉歌小海足叩舷。","Werneror",""
"吴志道即居左凿池，池中立石假山，高丈馀，络以翠萝，环以清流，旁创小亭，为游息之所。肩吾陈子扁之曰咫尺蓬莱，作歌要余同赋，因次其韵云：","元","胡天游","吾闻蓬莱之山三万里，盘根下插归虚底。六鳌赑屃挽不前，那得飞来窗户里。寒姿颠倒白云间，绿水错磨花玉齿。老苔悬薜莽联络，髣髴玄洲环岛屿。固知幻戏出人为，岂有金珠隐空翠。亭中老仙方晏坐，醉眼狂花吐奇语。省来一笑悟非真，欲借鲸波洗眸子。世间小大本无凭，一视正须齐彼此。秋毫泰岱孰雌雄，沧海坳堂同一水。呜呼！安能自此乘清风，下视尘寰渺何许。","Werneror",""
"青山白云歌。思余嘉宾也，风尘澒洞，南北不通，音问隔绝，思而作之。嘉宾母梦吞云而生，小名云孙。","元","胡天游","青山之青无可名，有山以来无比青。白云之白白如羽，倏忽变化腾青冥。我本青山人，结庐白云间。白云长往来，青山淡无言。朝同白云出，暮共白云还。白云一旦舍我去，惟有青山相对间。人言白云好，我爱青山佳。青山何所有，细水泛桃花。白云何所之，金银宫阙天之涯。浮沈异世如尘泥，我思白云云不思。洒扫青山石，高歌白云诗。黄尘吹空暗江海，我但醉眠闻鼓鼙。愿随长风一息九千里，唤取白云还故庐。青山青山堪采芝，白云白云胡不归。商家霖雨久寂寞，卧龙不起畴其依。瑶姬老矣高台非，云兮云兮知不知。浮云万变果何益，不如深山抱石而幽栖。噫嗟归来兮，帝乡须好不可以久居。","Werneror",""
"述志赋","元","胡天游","繄余生之碌碌兮，承祖考之馀辉。方髫年而志学兮，思踵武于前徽。丁文运之再昌兮，期一举而遂志。何中道之多艰兮，终抱志而莫展。霜毛飒以垂领兮，惧五十而无闻。挟陈编以私淑兮，庶弗坠于斯文。嗟蚩蚩之世俗兮，纷贱目而贵耳。顾区区之鲁人兮，尚弗知乎尼父。青黄眩而莫分兮，美恶混而相同。计微功于呻诵兮，希速化于颛蒙。朝卑辞以致币兮，夕怠色而忘礼。群飞点而玉涴兮，众口烁而金毁。毛嫱靓立而自扬兮，曾不伸乎蹇修。投双璧以行媒兮，反效颦之是求。谓骅骝为下乘兮，以款段为疾走。揖歌采于道周兮，登珷玞于犀椟。般纷纷其得志兮，长裾曳地济济而相望。俛争食于鸡鹜兮，仰阔视而扬扬。余方索居孑立而无与俦兮，聊逍遥乎林下。睇浮云以舒啸兮，倚翠竹而为伍。崇丘纷其枳棘兮，时览德而踟躇。哂饥鸱之疾盻兮，攫腐鼠而嚇馀。龙门崒嵂以干云兮，亦何往而不我。偕彼瞡瞡之蛙淖兮，夫岂入于我怀。何容媚世以穷其道兮，诚有识之所嗤。使子为倚市之娼兮，孰与夫空谷而幽居。抚青萍以自珍兮，曰有待夫知己。倘千金而非吾徒兮，宁挂壁而无齿。惟圣贤之不遇兮，亦皇皇而西东。矧吾人之数奇兮，敢背道而愠穷。韪达观之无不可兮，付出处于流坎。苟素志之靡违兮，又何伤乎蹙頞。正余冠之崔嵬兮，理余瑟之铿锵。良时钜不可以再得兮，姑从容而徜徉。","Werneror",""
"答禄将军射虎行","元","乃贤","将军部曲瀚海东，三千铁骑精且雄。久知天命属真主，奋身来建非常功。世祖神谟涵宇宙，坐使英雄皆入彀。十年转战淮蔡平，帐下论功封太守。信阳郭外山嵯峨，长林大谷青松多。白额于菟踞当道，城边日落无人过。将军闻之毛发竖，拔剑誓天期杀虎。弯弓走马出东门，倾城来看誇豪武。猛虎磨牙当路嗥，目光睒睒斑尾摇。据鞍一叱双眦裂，鸟飞木落风萧萧。金弰雕弓铁丝箭，满月弦开正当面。雕翎射没锦毛摧，厓石崩腾腥血溅。万人欢笑声震天，剖开一箭当心穿。父老持杯马前拜，祝公眉寿三千年。将军立功期不朽，奇事相传在人口。可怜李广不封侯，却喜将军今有后。承平公子秘书郎，文场百步曾穿杨。咫尺风云看豹变，鸣珂曳履登朝堂。","Werneror",""
"青梅引","元","无名氏","我笑迷人，不信乖劣。痴心恋，贪名利萦系。落魄狂游，每将术艺养道，用安身己。道知和息。藜杖药瓢，蓑衣蛮笠。纵大地有满地正珠，那的直甚闲气。无限峰峦耸翠。略撰个茅庵，用做栖心，幸有灵苗裔。更兼泉水。饥渴自然无痴。独坐深山里。闷看乾坤间隔，望落落如晓星之势。再遇何年，驾云朝上帝。","Werneror",""
"踏雪行","元","无名氏","晓古通今，明经解义。纷纷说得天花坠。逐朝看画饼怎充饥，竹影难扫堂前地。寡欲少思，忘言得意。诸家放下难为贵。若离方寸这些儿，踏破铁鞋无觅处。","Werneror",""
"正宫 塞鸿秋 山行警","元","无名氏","东边路、西边路、南边路，五里铺、七里铺、十里铺，行一步、盼一步、懒一步。霎时间、天也暮、日也暮、云也暮，斜阳满地铺。回首生烟雾，兀的不、山无数、水无数、情无数。","Werneror",""
"十报恩 道友问在家能修行否","元","马钰","神仙要做恋妻男。忙里偷闲道上参。清净门庭无意认，淫情术法入心贪。欲求家道两全美，怎悟寂寥一著甘。莫待酆都追帖至，早归物外住云庵。","Werneror",""
"斗修行 本名斗百花犯正宫","元","马钰","同流宜斗修行，斗把刚强摧挫。斗降心忘，酒色财气人我。斗不还乡，时时斗悟清贫，逍遥。放慵闲过。斗要成功果。斗没纤尘，斗进长生真火。斗炼七返九还，灿烂丹颗。斗起慈悲、常常似斗无争，斗早得携云朵。","Werneror",""
